2025-11-09 22:36:59 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 4ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:09 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:10 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:10 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:10 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:22 | INFO | alejandria | 127.0.0.1 | POST /auth/logout -> 405 0ms size=31 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:35 | INFO | alejandria | 127.0.0.1 | POST /auth/logout -> 405 0ms size=31 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:37:35 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:37:35 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1468 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:41:27 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
